Unnamed: 0,batting_team,bowling_team,city,current_score,balls_left,wickets_left,crr,last_five,runs_x
27767,Australia,England,Melbourne,114,21,5,6.909090909090909,36.0,147
16630,Pakistan,Sri Lanka,Johannesburg,145,25,6,9.157894736842104,62.0,189
17825,India,Australia,Durban,40,75,9,5.333333333333333,31.0,188
12168,England,Pakistan,Manchester,121,31,5,8.157303370786517,46.0,131
3520,Afghanistan,West Indies,St Kitts,66,48,7,5.5,14.0,146
12974,Bangladesh,Pakistan,Lahore,41,73,7,5.23404255319149,24.0,136
20386,South Africa,New Zealand,London,122,6,3,6.421052631578948,41.0,128
34423,West Indies,Australia,Barbados,67,82,10,10.578947368421051,48.0,160
562,South Africa,New Zealand,Auckland,102,55,9,9.415384615384616,46.0,185
42890,Australia,South Africa,Adelaide,51,70,7,6.12,20.0,144
11799,England,Australia,Southampton,115,32,5,7.840909090909091,41.0,162
15480,West Indies,South Africa,Johannesburg,120,52,10,10.588235294117649,52.0,205
38764,New Zealand,Bangladesh,Mirpur,80,67,9,9.056603773584904,32.0,204
35675,England,New Zealand,Auckland,90,71,8,11.020408163265309,65.0,214
16966,Sri Lanka,Bangladesh,Johannesburg,64,57,7,6.095238095238095,26.0,147
32822,West Indies,Sri Lanka,Pallekele,98,18,6,5.764705882352941,35.0,129
26849,Pakistan,New Zealand,Dubai,63,69,8,7.411764705882353,45.0,161
13391,West Indies,New Zealand,Auckland,139,41,5,10.556962025316457,52.0,180
20426,Sri Lanka,West Indies,Nottingham,51,88,10,9.5625,49.0,192
47336,South Africa,England,Mumbai,180,20,6,10.8,46.0,229
22420,India,New Zealand,Christchurch,64,67,5,7.245283018867925,24.0,162
8899,New Zealand,Pakistan,Dubai,75,51,7,6.521739130434782,22.0,153
22824,South Africa,England,Centurion,171,40,9,12.825,63.0,241
25974,Sri Lanka,England,St Lucia,30,90,7,6.0,26.0,128
647,South Africa,England,Southampton,33,91,7,6.827586206896552,33.0,142
15768,England,Australia,Cape Town,128,15,4,7.314285714285714,33.0,135
13242,Australia,India,Sydney,86,56,8,8.0625,39.0,186
2852,Bangladesh,Sri Lanka,Colombo,141,10,4,7.69090909090909,44.0,155
15848,India,Pakistan,Durban,67,57,6,6.380952380952381,37.0,141
36906,India,Pakistan,Bangalore,108,27,6,6.967741935483871,31.0,133
5965,Sri Lanka,India,Colombo,129,23,4,7.979381443298969,18.0,152
34847,West Indies,New Zealand,Lauderhill,106,39,8,7.851851851851852,35.0,177
47039,Pakistan,Bangladesh,Kolkata,81,68,9,9.346153846153848,44.0,201
12490,Sri Lanka,Pakistan,Lahore,84,60,9,8.4,34.0,165
37393,Australia,England,Sydney,122,38,7,8.926829268292684,54.0,195
39635,South Africa,New Zealand,Chittagong,67,53,7,6.0,27.0,170
44479,South Africa,Australia,Johannesburg,60,85,9,10.285714285714286,52.0,204
33691,Sri Lanka,Pakistan,Colombo,115,15,8,6.571428571428571,31.0,139
14255,South Africa,New Zealand,Johannesburg,102,43,7,7.9480519480519485,25.0,133
39368,Pakistan,Australia,Mirpur,70,65,8,7.636363636363637,45.0,191
6903,Sri Lanka,South Africa,Cape Town,74,50,6,6.342857142857143,28.0,134
5706,Bangladesh,India,Colombo,110,25,5,6.947368421052632,36.0,139
49038,Sri Lanka,South Africa,Delhi,97,29,3,6.395604395604396,19.0,120
30400,West Indies,England,London,43,91,10,8.89655172413793,43.0,125
40473,India,Australia,Mirpur,35,91,9,7.241379310344827,35.0,159
26517,New Zealand,Australia,Wellington,88,33,6,6.068965517241379,43.0,118
20079,England,Pakistan,London,88,65,8,9.6,41.0,185
18240,New Zealand,England,Manchester,100,14,3,5.660377358490566,28.0,123
21656,Pakistan,South Africa,Nottingham,39,91,8,8.068965517241379,39.0,149
42093,Pakistan,Australia,Dubai,31,88,7,5.8125,29.0,96
12991,Bangladesh,Pakistan,Lahore,60,56,7,5.625,29.0,136
22070,India,New Zealand,Wellington,92,45,7,7.36,35.0,149
12637,Sri Lanka,Pakistan,Lahore,129,35,8,9.105882352941176,53.0,182
12115,England,Pakistan,Manchester,35,83,9,5.675675675675675,32.0,131
11505,West Indies,India,Lauderhill,34,77,5,4.744186046511628,16.0,95
5681,Bangladesh,India,Colombo,79,45,6,6.32,24.0,139
4325,England,India,Manchester,106,41,8,8.050632911392405,40.0,159
18745,England,New Zealand,Auckland,174,4,2,9.0,53.0,184
14886,New Zealand,Sri Lanka,Wellington,133,29,6,8.76923076923077,31.0,162
48887,Afghanistan,West Indies,Nagpur,53,56,6,4.96875,20.0,123
21543,South Africa,India,Nottingham,47,83,9,7.621621621621622,39.0,130
28686,India,England,Manchester,66,71,9,8.081632653061224,41.0,165
8266,New Zealand,Sri Lanka,Auckland,52,63,6,5.473684210526316,23.0,179
19583,Australia,New Zealand,Sydney,65,62,7,6.724137931034483,26.0,150
44291,Sri Lanka,Pakistan,Colombo,113,29,5,7.450549450549451,43.0,172
32765,West Indies,Sri Lanka,Pallekele,38,75,8,5.066666666666666,30.0,129
16501,South Africa,England,Cape Town,95,28,4,6.195652173913044,22.0,154
42520,England,New Zealand,Manchester,80,65,7,8.727272727272727,48.0,191
15701,England,Australia,Cape Town,37,80,8,5.55,26.0,135
25012,New Zealand,Pakistan,Barbados,58,64,6,6.214285714285714,22.0,133
14610,South Africa,Australia,Johannesburg,83,59,9,8.163934426229508,41.0,201
13634,Pakistan,New Zealand,Auckland,68,45,5,5.44,32.0,153
19730,England,West Indies,Trinidad,96,40,5,7.2,31.0,121
33945,West Indies,Sri Lanka,Colombo,117,10,4,6.381818181818182,46.0,137
21946,Sri Lanka,Pakistan,London,68,46,5,5.513513513513513,28.0,138
11186,India,New Zealand,Hamilton,138,22,7,8.448979591836734,41.0,179
45293,England,Pakistan,Dubai,139,17,5,8.097087378640778,43.0,172
20260,Australia,Sri Lanka,Nottingham,135,10,3,7.363636363636363,49.0,159
27858,New Zealand,Sri Lanka,Lauderhill,60,51,7,5.217391304347826,25.0,120
31640,West Indies,Australia,Colombo,47,88,8,8.8125,41.0,191
9483,Pakistan,Australia,Sydney,44,78,8,6.285714285714286,33.0,107
34034,West Indies,England,Nottingham,77,42,7,5.923076923076923,39.0,172
19612,Australia,New Zealand,Sydney,103,33,7,7.103448275862069,39.0,150
39869,Sri Lanka,England,Chittagong,67,64,9,7.178571428571429,38.0,189
21444,Sri Lanka,New Zealand,Nottingham,80,60,8,8.0,37.0,158
20255,Australia,Sri Lanka,Nottingham,128,15,4,7.314285714285714,48.0,159
16451,South Africa,England,Cape Town,49,77,7,6.837209302325581,27.0,154
21621,South Africa,India,Nottingham,120,5,6,6.260869565217392,27.0,130
17563,India,South Africa,Durban,33,89,7,6.387096774193548,31.0,153
26910,Pakistan,New Zealand,Dubai,137,9,4,7.405405405405405,29.0,161
48318,Australia,Pakistan,Chandigarh,172,9,6,9.297297297297296,53.0,193
9683,South Africa,England,Centurion,60,90,10,12.0,60.0,222
47438,Pakistan,India,Kolkata,69,39,7,5.111111111111111,29.0,118
15444,West Indies,South Africa,Johannesburg,54,84,10,9.0,45.0,205
19691,England,West Indies,Trinidad,55,76,8,7.5,32.0,121
49600,Pakistan,India,Mirpur,35,81,7,5.384615384615385,30.0,83
39016,Afghanistan,Bangladesh,Mirpur,50,62,5,5.172413793103448,18.0,72
48803,Australia,India,Chandigarh,131,20,5,7.86,37.0,160
49268,India,West Indies,Mumbai,100,46,9,8.108108108108109,37.0,192
28956,West Indies,Pakistan,St Lucia,99,49,9,8.366197183098592,42.0,150
47302,South Africa,England,Mumbai,131,52,8,11.558823529411764,43.0,229
38817,New Zealand,Bangladesh,Mirpur,175,17,8,10.194174757281552,50.0,204
29057,India,West Indies,Trinidad,49,75,7,6.533333333333333,37.0,159
12465,Sri Lanka,Pakistan,Lahore,64,85,10,10.971428571428572,55.0,165
32418,South Africa,Pakistan,Colombo,52,54,7,4.727272727272728,24.0,133
286,New Zealand,Bangladesh,Mount Maunganui,49,84,7,8.166666666666666,40.0,195
32703,New Zealand,England,Pallekele,112,16,5,6.461538461538462,44.0,148
21310,England,West Indies,London,70,69,8,8.235294117647058,45.0,161
11574,West Indies,India,Lauderhill,88,9,2,4.756756756756757,24.0,95
48166,India,Bangladesh,Bangalore,95,38,7,6.951219512195122,43.0,146
18169,New Zealand,England,Manchester,33,85,8,5.6571428571428575,32.0,123
42706,England,Australia,Cardiff,173,7,6,9.1858407079646,53.0,182
5388,Sri Lanka,India,Mumbai,37,84,7,6.166666666666667,31.0,135
24304,South Africa,Afghanistan,Barbados,105,25,5,6.631578947368421,27.0,139
43026,South Africa,Australia,Melbourne,51,58,7,4.935483870967742,22.0,101
6074,India,Bangladesh,Colombo,111,32,9,7.568181818181818,41.0,176
43787,New Zealand,South Africa,Durban,118,35,6,8.329411764705883,41.0,151
24948,Sri Lanka,West Indies,Barbados,191,2,8,9.71186440677966,59.0,195
35783,New Zealand,England,Hamilton,54,85,10,9.257142857142858,45.0,192
34662,West Indies,New Zealand,Lauderhill,32,89,9,6.193548387096774,26.0,209
14372,Sri Lanka,England,Southampton,101,49,6,8.535211267605634,33.0,163
18587,West Indies,South Africa,Johannesburg,70,39,6,5.185185185185185,28.0,131
1032,India,England,Bangalore,65,77,9,9.069767441860463,55.0,202
17136,New Zealand,South Africa,Durban,137,14,4,7.754716981132075,45.0,153
5007,India,South Africa,Johannesburg,60,90,8,12.0,54.0,203
21583,South Africa,India,Nottingham,80,43,8,6.233766233766234,24.0,130
44756,India,Australia,Adelaide,85,57,8,8.095238095238095,38.0,188
16870,Australia,Pakistan,Johannesburg,119,32,6,8.113636363636363,36.0,164
41994,South Africa,West Indies,Johannesburg,121,60,8,12.1,72.0,231
46486,South Africa,Sri Lanka,Centurion,106,66,6,11.77777777777778,53.0,126
49302,India,West Indies,Mumbai,157,13,8,8.80373831775701,48.0,192
16756,New Zealand,England,Durban,134,23,5,8.288659793814434,55.0,164
8421,Pakistan,Australia,Abu Dhabi,107,36,8,7.642857142857143,39.0,155
29081,India,West Indies,Trinidad,69,51,6,6.0,22.0,159
41541,Pakistan,South Africa,Cape Town,151,19,7,8.970297029702971,60.0,176
49855,Sri Lanka,India,Mirpur,51,59,7,5.016393442622951,25.0,138
50289,Australia,Sri Lanka,Pallekele,73,84,9,12.166666666666666,69.0,263
24757,Australia,India,Barbados,76,66,10,8.444444444444445,41.0,184
48680,England,Sri Lanka,Delhi,145,14,7,8.20754716981132,56.0,171
20753,Sri Lanka,Pakistan,London,131,20,6,7.86,40.0,150
10637,New Zealand,England,Christchurch,132,15,6,7.542857142857143,42.0,153
36722,West Indies,Bangladesh,Mirpur,43,86,8,7.588235294117647,41.0,197
29197,South Africa,Australia,Cape Town,58,62,8,6.0,33.0,146
8448,Pakistan,Australia,Abu Dhabi,134,9,2,7.243243243243243,29.0,155
22578,Sri Lanka,India,Colombo,119,33,7,8.206896551724139,42.0,171
16219,New Zealand,India,Johannesburg,86,55,8,7.938461538461539,38.0,190
32914,South Africa,Australia,Colombo,73,48,6,6.083333333333333,31.0,146
36081,Australia,Pakistan,Dubai,69,32,5,4.704545454545454,18.0,89
19326,South Africa,Australia,Centurion,53,73,8,6.76595744680851,31.0,156
48483,New Zealand,Bangladesh,Kolkata,35,87,9,6.363636363636363,34.0,145
3051,Pakistan,West Indies,Trinidad,79,57,8,7.523809523809524,39.0,137
23821,Afghanistan,India,St Lucia,97,19,6,5.762376237623762,39.0,115
9262,Australia,Sri Lanka,Adelaide,122,55,9,11.261538461538462,66.0,233
37648,England,West Indies,Barbados,116,26,6,7.404255319148936,52.0,152
36915,India,Pakistan,Bangalore,119,19,5,7.069306930693069,31.0,133
50455,Sri Lanka,Australia,Colombo,79,40,4,5.925,21.0,128
28916,West Indies,Pakistan,St Lucia,37,89,9,7.161290322580645,36.0,150
23147,Pakistan,Sri Lanka,Colombo,49,84,8,8.166666666666666,47.0,172
34078,West Indies,England,Nottingham,167,0,6,8.35,60.0,172
6276,Bangladesh,India,Colombo,46,77,7,6.418604651162791,24.0,166
12745,Sri Lanka,Pakistan,Lahore,82,52,6,7.235294117647059,34.0,147
49980,Pakistan,Bangladesh,Mirpur,34,57,6,3.238095238095238,15.0,129
17129,New Zealand,South Africa,Durban,131,21,5,7.9393939393939394,42.0,153
15830,India,Pakistan,Durban,41,75,6,5.466666666666667,31.0,141
31975,India,England,Colombo,164,3,7,8.41025641025641,52.0,170
3189,West Indies,Pakistan,Trinidad,73,42,5,5.615384615384615,21.0,124
24011,India,South Africa,St Lucia,42,73,8,5.361702127659575,28.0,186
15574,West Indies,Bangladesh,Johannesburg,33,85,9,5.6571428571428575,28.0,164
26274,Australia,England,Barbados,58,49,6,4.901408450704225,28.0,147
28307,Pakistan,New Zealand,Auckland,61,80,8,9.15,42.0,143
