,batting_team,bowling_team,city,current_score,balls_left,wickets_left,crr,last_five,runs_x
38246,Sri Lanka,Pakistan,Dubai,49,91,10,10.137931034482758,49.0,211
29225,South Africa,Australia,Cape Town,86,35,7,6.070588235294117,29.0,146
49881,Sri Lanka,India,Mirpur,86,34,6,6.0,44.0,138
46594,South Africa,Sri Lanka,Johannesburg,103,21,3,6.242424242424242,29.0,113
2027,New Zealand,England,Wellington,54,80,9,8.1,41.0,196
36182,Pakistan,Australia,Dubai,81,50,9,6.942857142857143,41.0,151
1205,West Indies,India,Lauderhill,199,29,9,13.12087912087912,55.0,245
26973,Pakistan,New Zealand,Dubai,68,68,8,7.846153846153846,39.0,153
25021,New Zealand,Pakistan,Barbados,65,55,6,6.0,24.0,133
30524,West Indies,England,London,24,89,9,4.645161290322581,24.0,113
21612,South Africa,India,Nottingham,111,14,6,6.283018867924528,31.0,130
34841,West Indies,New Zealand,Lauderhill,96,45,8,7.68,37.0,177
39214,Sri Lanka,South Africa,Chittagong,42,93,8,9.333333333333334,42.0,165
39753,West Indies,Bangladesh,Mirpur,80,58,10,7.741935483870968,46.0,171
42713,England,Australia,Cardiff,182,0,5,9.1,45.0,182
28451,New Zealand,Pakistan,Hamilton,77,63,9,8.105263157894736,36.0,185
26483,New Zealand,Australia,Wellington,42,67,7,4.754716981132075,29.0,118
48536,New Zealand,Bangladesh,Kolkata,91,35,8,6.423529411764706,34.0,145
13122,Australia,India,Sydney,102,53,8,9.134328358208956,37.0,194
9366,Sri Lanka,Australia,Melbourne,48,75,8,6.4,32.0,142
43054,South Africa,Australia,Melbourne,71,30,6,4.733333333333333,20.0,101
35807,New Zealand,England,Hamilton,84,61,9,8.542372881355933,38.0,192
32948,South Africa,Australia,Colombo,109,16,5,6.288461538461538,32.0,146
44604,South Africa,Australia,Cape Town,68,84,9,11.333333333333334,57.0,178
22073,India,New Zealand,Wellington,93,42,6,7.153846153846154,34.0,149
43917,New Zealand,South Africa,Centurion,137,28,6,8.934782608695652,45.0,177
19113,South Africa,Bangladesh,Johannesburg,71,75,8,9.466666666666667,52.0,118
